Title,ReleaseYear,Certificate,Runtime,Genres,Description,IMDBRating,Metascore,Votes,GrossRevenue,genre_pull
Trolls,(2016),PG,92 min,"
Animation, Adventure, Comedy            ","
After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends.","

6.5
","
55        
        Metascore
            ","79,435",$153.71M,fantasy
Scooby-Doo,(2002),PG,86 min,"
Adventure, Comedy, Family            ","
After an acrimonious break up, the Mystery Inc. gang are individually brought to an island resort to investigate strange goings on.","

5.2
","
35        
        Metascore
            ","109,046",$153.29M,fantasy
Puss in Boots,(2011),PG,90 min,"
Animation, Adventure, Comedy            ","
An outlaw cat, his childhood egg-friend and a seductive thief kitty set out in search for the eggs of the fabled Golden Goose to clear his name, restore his lost honor and regain the trust of his mother and town.","

6.6
","
65        
        Metascore
            ","154,753",$149.26M,fantasy
Hotel Transylvania,(2012),PG,91 min,"
Animation, Comedy, Family            ","
Dracula, who operates a high-end resort away from the human world, goes into overprotective mode when a boy discovers the resort and falls for the count's teenaged daughter.","

7.1
","
47        
        Metascore
            ","247,185",$148.31M,fantasy
Gremlins,(1984),PG,106 min,"
Comedy, Fantasy, Horror            ","
A young man inadvertently breaks three important rules concerning his new pet and unleashes a horde of malevolently mischievous monsters on a small town.","

7.3
","
70        
        Metascore
            ","217,462",$148.17M,fantasy
Lilo & Stitch,(2002),PG,85 min,"
Animation, Adventure, Comedy            ","
A young and parentless girl adopts a 'dog' from the local pound, completely unaware that it's supposedly a dangerous scientific experiment that's taken refuge on Earth and is now hiding from its creator and those who see it as a menace.","

7.3
","
73        
        Metascore
            ","183,388",$145.79M,fantasy
The Santa Clause,(1994),PG,97 min,"
Comedy, Drama, Family            ","
When a man inadvertently makes Santa fall off of his roof on Christmas Eve, he finds himself magically recruited to take his place.","

6.5
","
57        
        Metascore
            ","113,307",$144.83M,fantasy
Doctor Dolittle,(1998),PG-13,85 min,"
Comedy, Family, Fantasy            ","
A doctor discovers that he can communicate with animals.","

5.4
","
46        
        Metascore
            ","96,168",$144.16M,fantasy
Kung Fu Panda 3,(2016),PG,95 min,"
Animation, Action, Adventure            ","
Continuing his ""legendary adventures of awesomeness"", Po must face two hugely epic, but different threats: one supernatural and the other a little closer to home.","

7.1
","
66        
        Metascore
            ","150,902",$143.53M,fantasy
The Smurfs,(2011),PG,103 min,"
Animation, Adventure, Comedy            ","
When the evil wizard Gargamel chases the tiny blue Smurfs out of their village, they tumble from their magical world into New York City.","

5.4
","
30        
        Metascore
            ","88,805",$142.61M,fantasy
The Jungle Book,(1967),G,78 min,"
Animation, Adventure, Comedy            ","
Bagheera the Panther and Baloo the Bear have a difficult time trying to convince a boy to leave the jungle for human civilization.","

7.6
","
65        
        Metascore
            ","177,466",$141.84M,fantasy
The Chronicles of Narnia: Prince Caspian,(2008),PG,150 min,"
Action, Adventure, Family            ","
The Pevensie siblings return to Narnia, where they are enlisted to once again help ward off an evil king and restore the rightful heir to the land's throne, Prince Caspian.","

6.5
","
62        
        Metascore
            ","206,297",$141.62M,fantasy
Shazam!,(2019),PG-13,132 min,"
Action, Adventure, Comedy            ","
A newly fostered young boy in search of his mother instead finds unexpected super powers and soon gains a powerful enemy.","

7.0
","
71        
        Metascore
            ","313,184",$140.37M,fantasy
Stuart Little,(1999),PG,84 min,"
Adventure, Comedy, Family            ","
The Little family adopt a charming young mouse named Stuart, but the family cat wants rid of him.","

6.0
","
61        
        Metascore
            ","132,210",$140.04M,fantasy
The Santa Clause 2,(2002),G,104 min,"
Comedy, Family, Fantasy            ","
Scott Calvin has been a humble Santa Claus for nearly ten years, but it might come to an end if he doesn't find a Mrs. Claus.","

5.7
","
48        
        Metascore
            ","56,309",$139.24M,fantasy
A Christmas Carol,(2009),PG,96 min,"
Animation, Adventure, Comedy            ","
An animated retelling of Charles Dickens' classic novel about a Victorian-era miser taken on a journey of self-redemption, courtesy of several mysterious Christmas apparitions.","

6.8
","
55        
        Metascore
            ","112,605",$137.86M,fantasy
Dinosaur,(2000),PG,82 min,"
Animation, Adventure, Drama            ","
An orphaned dinosaur raised by lemurs joins an arduous trek to a sanctuary after a meteorite shower destroys his family home.","

6.4
","
56        
        Metascore
            ","58,982",$137.75M,fantasy
Click,(2006),PG-13,107 min,"
Comedy, Drama, Fantasy            ","
A workaholic architect finds a universal remote that allows him to fast-forward and rewind to different parts of his life. Complications arise when the remote starts to overrule his choices.","

6.4
","
45        
        Metascore
            ","323,374",$137.36M,fantasy
The Green Mile,(1999),R,189 min,"
Crime, Drama, Fantasy            ","
The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.","

8.6
","
61        
        Metascore
            ","1,246,388",$136.80M,fantasy
Chicken Little,(2005),G,81 min,"
Animation, Adventure, Comedy            ","
After ruining his reputation with the town, a courageous chicken must come to the rescue of his fellow citizens when aliens start an invasion.","

5.7
","
48        
        Metascore
            ","90,824",$135.39M,fantasy
Alvin and the Chipmunks: Chipwrecked,(2011),G,87 min,"
Animation, Adventure, Comedy            ","
Playing around while aboard a cruise ship, the Chipmunks and Chipettes accidentally go overboard and end up marooned in a tropical paradise. They discover their new turf is not as deserted as it seems.","

4.3
","
24        
        Metascore
            ","34,539",$133.11M,fantasy
Fantastic Four: Rise of the Silver Surfer,(2007),PG,92 min,"
Action, Adventure, Fantasy            ","
The Fantastic Four learn that they aren't the only super-powered beings in the universe when they square off against the powerful Silver Surfer and the planet-eating Galactus.","

5.6
","
45        
        Metascore
            ","261,112",$131.92M,fantasy
The Last Airbender,(2010),PG,103 min,"
Action, Adventure, Family            ","
Follows the adventures of Aang, a young successor to a long line of Avatars, who must master all four elements and stop the Fire Nation from enslaving the Water Tribes and the Earth Kingdom.","

4.0
","
20        
        Metascore
            ","161,034",$131.56M,fantasy
Lara Croft: Tomb Raider,(2001),PG-13,100 min,"
Action, Adventure, Fantasy            ","
Video game adventurer Lara Croft comes to life in a movie where she races against time and villains to recover powerful ancient artifacts.","

5.7
","
33        
        Metascore
            ","206,845",$131.14M,fantasy
The Flintstones,(1994),PG,91 min,"
Comedy, Family, Fantasy            ","
In a parallel modern-day Stone Age world, a working-class family, the Flintstones, are set up for an executive job. But they learn that money can't buy happiness.","

5.0
","
38        
        Metascore
            ","80,295",$130.51M,fantasy
Ghostbusters: Answer the Call,(2016),PG-13,117 min,"
Action, Comedy, Fantasy            ","
Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.","

6.9
","
60        
        Metascore
            ","225,249",$128.34M,fantasy
Into the Woods,(2014),PG,125 min,"
Adventure, Comedy, Drama            ","
A witch tasks a childless baker and his wife with procuring magical items from classic fairy tales to reverse the curse put on their family tree.","

5.9
","
69        
        Metascore
            ","139,060",$128.00M,fantasy
Enchanted,(2007),PG,107 min,"
Animation, Adventure, Comedy            ","
A young maiden in a land called Andalasia, who is prepared to be wed, is sent away to New York City by an evil Queen, where she falls in love with a lawyer.","

7.1
","
75        
        Metascore
            ","193,743",$127.81M,fantasy
The Curious Case of Benjamin Button,(2008),PG-13,166 min,"
Drama, Fantasy, Romance            ","
Tells the story of Benjamin Button, a man who starts aging backwards with consequences.","

7.8
","
70        
        Metascore
            ","631,006",$127.51M,fantasy
The Legend of Tarzan,(2016),PG-13,110 min,"
Action, Adventure, Drama            ","
Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.","

6.2
","
44        
        Metascore
            ","173,392",$126.64M,fantasy
Life of Pi,(2012),PG,127 min,"
Adventure, Drama, Fantasy            ","
A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.","

7.9
","
79        
        Metascore
            ","613,479",$124.99M,fantasy
Cloudy with a Chance of Meatballs,(2009),PG,90 min,"
Animation, Adventure, Comedy            ","
A local scientist is often regarded as a failure until he invents a machine that can make food fall from the sky. But little does he know, that things are about to take a turn for the worst.","

7.0
","
66        
        Metascore
            ","224,057",$124.87M,fantasy
Free Guy,(2021),PG-13,115 min,"
Action, Adventure, Comedy            ","
A bank teller discovers that he's actually an NPC inside a brutal, open world video game.","

7.2
","
62        
        Metascore
            ","313,010",$121.63M,fantasy
Mulan,(1998),G,88 min,"
Animation, Adventure, Comedy            ","
To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.","

7.6
","
71        
        Metascore
            ","277,495",$120.62M,fantasy
Van Helsing,(2004),PG-13,131 min,"
Action, Adventure, Fantasy            ","
The famed monster hunter is sent to Transylvania to stop Count Dracula, who is using Dr. Frankenstein's research and a werewolf for nefarious purposes.","

6.0
","
35        
        Metascore
            ","260,037",$120.18M,fantasy
The Mask,(1994),PG-13,101 min,"
Action, Comedy, Crime            ","
Bank clerk Stanley Ipkiss is transformed into a manic superhero when he wears a mysterious mask.","

6.9
","
56        
        Metascore
            ","373,497",$119.94M,fantasy
Cloudy with a Chance of Meatballs 2,(2013),PG,95 min,"
Animation, Adventure, Comedy            ","
Flint Lockwood now works at The Live Corp Company for his idol Chester V. But he's forced to leave his post when he learns that his most infamous machine is still operational, and is churning out menacing food-animal hybrids.","

6.4
","
59        
        Metascore
            ","99,681",$119.79M,fantasy
Hook,(1991),PG,142 min,"
Adventure, Comedy, Family            ","
When Captain James Hook kidnaps his children, an adult Peter Pan must return to Neverland and reclaim his youthful spirit in order to challenge his old enemy.","

6.8
","
52        
        Metascore
            ","248,855",$119.65M,fantasy
G-Force,(2009),PG,88 min,"
Animation, Action, Adventure            ","
A specially trained squad of guinea pigs is dispatched to stop a diabolical billionaire from taking over the world.","

5.1
","
41        
        Metascore
            ","45,800",$119.44M,fantasy
A Series of Unfortunate Events,(2004),PG,108 min,"
Adventure, Comedy, Family            ","
When a massive fire kills their parents, three children are delivered to the custody of cousin and stage actor Count Olaf, who is secretly plotting to steal their parents' vast fortune.","

6.8
","
62        
        Metascore
            ","205,583",$118.63M,fantasy
Ghost Rider,(2007),PG-13,110 min,"
Action, Fantasy, Thriller            ","
When motorcycle rider Johnny Blaze sells his soul to the Devil to save his father's life, he is transformed into the Ghost Rider, the Devil's own bounty hunter, and is sent to hunt down sinners.","

5.2
","
35        
        Metascore
            ","234,002",$115.80M,fantasy
Peter Rabbit,(2018),PG,95 min,"
Animation, Adventure, Comedy            ","
Feature adaptation of Beatrix Potter's classic tale of a rebellious rabbit trying to sneak into a farmer's vegetable garden.","

6.6
","
51        
        Metascore
            ","41,447",$115.25M,fantasy
Big,(1988),PG,104 min,"
Comedy, Drama, Fantasy            ","
After wishing to be made big, a teenage boy wakes the next morning to find himself mysteriously in the body of an adult.","

7.3
","
73        
        Metascore
            ","214,366",$114.97M,fantasy
Dumbo,(2019),PG,112 min,"
Adventure, Family, Fantasy            ","
A young elephant, whose oversized ears enable him to fly, helps save a struggling circus, but when the circus plans a new venture, Dumbo and his friends discover dark secrets beneath its shiny veneer.","

6.3
","
51        
        Metascore
            ","73,370",$114.77M,fantasy
Maleficent: Mistress of Evil,(2019),PG,119 min,"
Adventure, Family, Fantasy            ","
Maleficent and her goddaughter Aurora begin to question the complex family ties that bind them as they are pulled in different directions by impending nuptials, unexpected allies and dark new forces at play.","

6.6
","
43        
        Metascore
            ","100,101",$113.93M,fantasy
Night at the Museum: Secret of the Tomb,(2014),PG,98 min,"
Adventure, Comedy, Family            ","
Larry spans the globe, uniting favorite and new characters while embarking on an epic quest to save the magic before it is gone forever.","

6.2
","
47        
        Metascore
            ","118,251",$113.75M,fantasy
The Addams Family,(1991),PG-13,99 min,"
Comedy, Fantasy            ","
Con artists plan to fleece an eccentric family using an accomplice who claims to be their long-lost uncle.","

6.9
","
57        
        Metascore
            ","150,002",$113.50M,fantasy
Dr. Dolittle 2,(2001),PG,87 min,"
Comedy, Family, Fantasy            ","
Dolittle must save a forest and a bear's life.","

4.7
","
49        
        Metascore
            ","44,856",$112.95M,fantasy
Ghostbusters II,(1989),PG,108 min,"
Action, Comedy, Fantasy            ","
The discovery of a massive river of ectoplasm and a resurgence of spectral activity allows the staff of Ghostbusters to revive the business.","

6.6
","
56        
        Metascore
            ","201,886",$112.49M,fantasy
The Little Mermaid,(1989),G,83 min,"
Animation, Adventure, Comedy            ","
A mermaid princess makes a Faustian bargain in an attempt to become human and win a prince's love.","

7.6
","
88        
        Metascore
            ","253,936",$111.54M,fantasy
Mr. Peabody & Sherman,(2014),PG,92 min,"
Animation, Adventure, Comedy            ","
The time-travelling adventures of an advanced canine and his adopted son, as they endeavor to fix a time rift they created.","

6.8
","
59        
        Metascore
            ","68,268",$111.51M,fantasy
Godzilla: King of the Monsters,(2019),PG-13,132 min,"
Action, Adventure, Fantasy            ","
The crypto-zoological agency Monarch faces off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah.","

6.0
","
48        
        Metascore
            ","174,209",$110.50M,fantasy
Freaky Friday,(2003),PG,97 min,"
Comedy, Family, Fantasy            ","
An overworked mother and her daughter do not get along. When they switch bodies, each is forced to adapt to the other's life for one freaky Friday.","

6.3
","
70        
        Metascore
            ","134,867",$110.23M,fantasy
Bedtime Stories,(2008),PG,99 min,"
Adventure, Comedy, Family            ","
A hotel handyman's life changes when the lavish bedtime stories he tells his niece and nephew start to magically come true.","

6.0
","
33        
        Metascore
            ","93,567",$110.10M,fantasy
Hop,(2011),PG,95 min,"
Animation, Adventure, Comedy            ","
E.B., the Easter Bunny's teenage son, heads to Hollywood, determined to become a drummer in a rock 'n' roll band. In LA, he's taken in by Fred after the out-of-work slacker hits E.B. with his car.","

5.4
","
41        
        Metascore
            ","33,478",$108.09M,fantasy
Epic,(2013),PG,102 min,"
Animation, Action, Adventure            ","
A teenager finds herself transported to a deep forest setting where a battle between the forces of good and the forces of evil is taking place. She bands together with a rag-tag group of characters in order to save their world -- and ours.","

6.6
","
52        
        Metascore
            ","104,115",$107.52M,fantasy
The Lego Movie 2: The Second Part,(2019),PG,107 min,"
Animation, Adventure, Comedy            ","
It's been five years since everything was awesome and the citizens are facing a huge new threat: Lego Duplo invaders from outer space, wrecking everything faster than they can rebuild.","

6.6
","
65        
        Metascore
            ","63,217",$105.81M,fantasy
Interview with the Vampire: The Vampire Chronicles,(1994),R,123 min,"
Drama, Fantasy, Horror            ","
A vampire tells his epic life story: love, betrayal, loneliness, and hunger.","

7.5
","
59        
        Metascore
            ","312,884",$105.26M,fantasy
Phenomenon,(1996),PG,123 min,"
Drama, Fantasy, Romance            ","
An ordinary man sees a bright light descend from the sky, and discovers he now has super-intelligence and telekinesis.","

6.4
","
41        
        Metascore
            ","78,754",$104.64M,fantasy
The Princess and the Frog,(2009),G,97 min,"
Animation, Adventure, Comedy            ","
A waitress, desperate to fulfill her dreams as a restaurant owner, is set on a journey to turn a frog prince back into a human being, but she has to face the same problem after she kisses him.","

7.1
","
73        
        Metascore
            ","138,216",$104.40M,fantasy
The Chronicles of Narnia: The Voyage of the Dawn Treader,(2010),PG,113 min,"
Adventure, Family, Fantasy            ","
Lucy and Edmund Pevensie return to Narnia with their cousin Eustace where they meet up with Prince Caspian for a trip across the sea aboard the royal ship The Dawn Treader. Along the way they encounter dragons, dwarves, merfolk, and a band of lost warriors before reaching the edge of the world.","

6.3
","
53        
        Metascore
            ","151,096",$104.39M,fantasy
Journey 2: The Mysterious Island,(2012),PG,94 min,"
Action, Adventure, Comedy            ","
Sean Anderson partners with his mom's husband on a mission to find his grandfather, who is thought to be missing on a mythical island.","

5.7
","
41        
        Metascore
            ","102,161",$103.86M,fantasy
Rise of the Guardians,(2012),PG,97 min,"
Animation, Action, Adventure            ","
When the evil spirit Pitch launches an assault on Earth, the Immortal Guardians team up to protect the innocence of children all around the world.","

7.3
","
58        
        Metascore
            ","170,097",$103.41M,fantasy
The Mummy: Tomb of the Dragon Emperor,(2008),PG-13,112 min,"
Action, Fantasy, Horror            ","
In the Far East, Alex O'Connell, the son of famed mummy fighters Rick and Evy O'Connell, unearths the mummy of the first Emperor of Qin -- a shape-shifting entity cursed by a witch centuries ago.","

5.2
","
31        
        Metascore
            ","158,165",$102.49M,fantasy
Mary Poppins,(1964),G,139 min,"
Comedy, Family, Fantasy            ","
In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.","

7.8
","
88        
        Metascore
            ","168,184",$102.27M,fantasy
Journey to the Center of the Earth,(2008),PG,93 min,"
Action, Adventure, Family            ","
On a quest to find out what happened to his missing brother, a scientist, his nephew and their mountain guide discover a fantastic and dangerous lost world in the center of the earth.","

5.8
","
57        
        Metascore
            ","120,598",$101.70M,fantasy
The Prince of Egypt,(1998),PG,99 min,"
Animation, Adventure, Drama            ","
Egyptian Prince Moses learns of his identity as a Hebrew and his destiny to become the chosen deliverer of his people.","

7.1
","
64        
        Metascore
            ","128,166",$101.22M,fantasy
The Cat in the Hat,(2003),PG,82 min,"
Adventure, Comedy, Family            ","
Two bored children have their lives turned upside down when a talking cat comes to visit them.","

4.1
","
19        
        Metascore
            ","81,578",$101.15M,fantasy
Sleepy Hollow,(1999),R,105 min,"
Fantasy, Horror, Mystery            ","
Ichabod Crane is sent to Sleepy Hollow to investigate the decapitations of three people, with the culprit being the legendary apparition, The Headless Horseman.","

7.3
","
65        
        Metascore
            ","350,772",$101.07M,fantasy
Vanilla Sky,(2001),R,136 min,"
Fantasy, Mystery, Romance            ","
A self-indulgent and vain publishing magnate finds his privileged life upended after a vehicular accident with a resentful lover.","

6.9
","
45        
        Metascore
            ","260,481",$100.61M,fantasy
A Wrinkle in Time,(2018),PG,109 min,"
Adventure, Family, Fantasy            ","
After the disappearance of her scientist father, three peculiar beings send Meg, her brother, and her friend to space in order to find him.","

4.2
","
53        
        Metascore
            ","44,224",$100.48M,fantasy
Jumanji,(1995),PG,104 min,"
Adventure, Comedy, Family            ","
When two kids find and play a magical board game, they release a man trapped in it for decades - and a host of dangers that can only be stopped by finishing the game.","

7.0
","
39        
        Metascore
            ","334,261",$100.48M,fantasy
Evan Almighty,(2007),PG,96 min,"
Comedy, Family, Fantasy            ","
God contacts Congressman Evan Baxter and tells him to build an ark in preparation for a great flood.","

5.4
","
37        
        Metascore
            ","145,632",$100.46M,fantasy
Casper,(1995),PG,100 min,"
Comedy, Family, Fantasy            ","
An afterlife therapist and his daughter meet a friendly young ghost when they move into a crumbling mansion in order to rid the premises of wicked spirits.","

6.1
","
49        
        Metascore
            ","130,809",$100.33M,fantasy
The Addams Family,(2019),PG,86 min,"
Animation, Comedy, Family            ","
The eccentrically macabre family moves to a bland suburb where Wednesday Addams' friendship with the daughter of a hostile and conformist local reality show host exacerbates conflict between the families.","

5.8
","
46        
        Metascore
            ","37,081",$100.04M,fantasy
Gnomeo & Juliet,(2011),G,84 min,"
Animation, Adventure, Comedy            ","
Separated by a garden fence and a feud, are blue gnomes on one side and red gnomes on the other. This doesn't stop blue Gnomeo and red Juliet from falling in love with each other. Do they have a future together?","

5.9
","
53        
        Metascore
            ","55,172",$99.97M,fantasy
Christopher Robin,(2018),PG,104 min,"
Animation, Adventure, Comedy            ","
A working-class family man, Christopher Robin, encounters his childhood friend Winnie-the-Pooh, who helps him to rediscover the joys of life.","

7.2
","
60        
        Metascore
            ","75,527",$99.22M,fantasy
Hercules,(1997),G,93 min,"
Animation, Adventure, Comedy            ","
The son of Zeus and Hera is stripped of his immortality as an infant and must become a true hero in order to reclaim it.","

7.3
","
74        
        Metascore
            ","222,986",$99.05M,fantasy
Sausage Party,(2016),R,89 min,"
Animation, Adventure, Comedy            ","
A sausage strives to discover the truth about his existence.","

6.1
","
66        
        Metascore
            ","189,366",$97.69M,fantasy
Michael,(1996),PG,105 min,"
Comedy, Drama, Fantasy            ","
Two tabloid reporters checking out a report of the Archangel Michael living with an old woman find that it's true. But that's not the only surprise.","

5.7
","
38        
        Metascore
            ","42,881",$95.32M,fantasy
"10,000 BC",(2008),PG-13,109 min,"
Action, Adventure, Drama            ","
In the prehistoric past, D'Leh is a mammoth hunter who bonds with the beautiful Evolet. When warriors on horseback capture Evolet and the tribesmen, D'Leh must embark on an odyssey to save his true love.","

5.1
","
34        
        Metascore
            ","129,741",$94.78M,fantasy
Tomorrowland,(2015),PG,130 min,"
Action, Adventure, Family            ","
Bound by a shared destiny, a teen bursting with scientific curiosity and a former boy-genius inventor embark on a mission to unearth the secrets of a place somewhere in time and space that exists in their collective memory.","

6.4
","
60        
        Metascore
            ","180,140",$93.44M,fantasy
Cats & Dogs,(2001),PG,87 min,"
Action, Adventure, Comedy            ","
A look at the top-secret, high-tech espionage war going on between cats and dogs, of which their human owners are blissfully unaware.","

5.1
","
47        
        Metascore
            ","59,005",$93.39M,fantasy
The Haunting,(1999),PG-13,113 min,"
Fantasy, Horror, Mystery            ","
A study in fear escalates into a heart-stopping nightmare for a professor and three subjects trapped in a mysterious mansion.","

5.0
","
42        
        Metascore
            ","75,476",$91.41M,fantasy
The Scorpion King,(2002),PG-13,92 min,"
Action, Adventure, Fantasy            ","
A desert warrior rises up against the evil army that is destroying his homeland. He captures the enemy's key sorcerer, takes her deep into the desert and prepares for a final showdown.","

5.5
","
45        
        Metascore
            ","136,517",$91.05M,fantasy
Prince of Persia: The Sands of Time,(2010),PG-13,116 min,"
Action, Adventure, Fantasy            ","
A young fugitive prince and princess must stop a villain who unknowingly threatens to destroy the world with a special dagger that enables the magic sand inside to reverse time.","

6.6
","
50        
        Metascore
            ","284,923",$90.76M,fantasy
Antz,(1998),PG,83 min,"
Animation, Adventure, Comedy            ","
A rather neurotic ant tries to break from his totalitarian society while trying to win the affection of the princess he loves.","

6.6
","
72        
        Metascore
            ","152,905",$90.76M,fantasy
Space Jam,(1996),PG,88 min,"
Animation, Adventure, Comedy            ","
In a desperate attempt to win a basketball match and earn their freedom, the Looney Tunes seek the aid of retired basketball champion, Michael Jordan.","

6.5
","
59        
        Metascore
            ","193,469",$90.46M,fantasy
The Emperor's New Groove,(2000),G,78 min,"
Animation, Adventure, Comedy            ","
Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder.","

7.4
","
70        
        Metascore
            ","196,484",$89.30M,fantasy
Percy Jackson & the Olympians: The Lightning Thief,(2010),PG,118 min,"
Adventure, Family, Fantasy            ","
A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods.","

5.9
","
47        
        Metascore
            ","185,760",$88.76M,fantasy
Peter Pan,(1953),G,77 min,"
Animation, Adventure, Family            ","
Wendy and her brothers are whisked away to the magical world of Neverland with the hero of their stories, Peter Pan.","

7.3
","
76        
        Metascore
            ","136,035",$87.40M,fantasy
Miss Peregrine's Home for Peculiar Children,(2016),PG-13,127 min,"
Adventure, Drama, Family            ","
When Jacob (Asa Butterfield) discovers clues to a mystery that stretches across time, he finds Miss Peregrine's Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers.","

6.7
","
57        
        Metascore
            ","167,591",$87.24M,fantasy
The Emoji Movie,(2017),PG,86 min,"
Animation, Adventure, Comedy            ","
Gene, a multi-expressional emoji, sets out on a journey to become a normal emoji.","

3.3
","
12        
        Metascore
            ","62,326",$86.09M,fantasy
Pokémon: The First Movie - Mewtwo Strikes Back,(1998),G,96 min,"
Animation, Action, Adventure            ","
Scientists genetically create a new Pokémon, Mewtwo, but the results are horrific and disastrous.","

6.2
","
35        
        Metascore
            ","42,529",$85.74M,fantasy
The SpongeBob SquarePants Movie,(2004),PG,87 min,"
Animation, Adventure, Comedy            ","
SpongeBob SquarePants takes leave from the town of Bikini Bottom in order to track down King Neptune's stolen crown.","

7.1
","
66        
        Metascore
            ","87,703",$85.42M,fantasy
Power Rangers,(2017),PG-13,124 min,"
Action, Adventure, Fantasy            ","
A group of high-school students, who are infused with unique superpowers, harness their abilities in order to save the world.","

5.9
","
44        
        Metascore
            ","106,475",$85.36M,fantasy
Brother Bear,(2003),G,85 min,"
Animation, Adventure, Comedy            ","
When a young Inuit hunter needlessly kills a bear, he is magically changed into a bear himself as punishment with a talkative cub being his only guide to changing back.","

6.8
","
48        
        Metascore
            ","106,782",$85.34M,fantasy
Cinderella,(1950),G,74 min,"
Animation, Family, Fantasy            ","
When Cinderella's cruel stepmother prevents her from attending the Royal Ball, she gets some unexpected help from the lovable mice Gus and Jaq and from her Fairy Godmother.","

7.3
","
85        
        Metascore
            ","156,067",$85.00M,fantasy
The Santa Clause 3: The Escape Clause,(2006),G,92 min,"
Adventure, Comedy, Family            ","
Santa, a.k.a. Scott Calvin, is faced with double-duty: how to keep his new family happy and how to stop Jack Frost from taking over Christmas.","

4.8
","
32        
        Metascore
            ","36,958",$84.50M,fantasy
Pinocchio,(1940),G,88 min,"
Animation, Adventure, Comedy            ","
A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.","

7.5
","
99        
        Metascore
            ","141,010",$84.25M,fantasy
Scooby-Doo 2: Monsters Unleashed,(2004),PG,93 min,"
Adventure, Comedy, Family            ","
The Mystery Inc. gang must save Coolsville from an attack of their past monsters brought to life by an evil masked figure trying to take down the gang.","

5.1
","
34        
        Metascore
            ","55,473",$84.22M,fantasy
Atlantis: The Lost Empire,(2001),PG,95 min,"
Animation, Action, Adventure            ","
A young linguist named Milo Thatch joins an intrepid group of explorers to find the mysterious lost continent of Atlantis.","

6.9
","
52        
        Metascore
            ","115,053",$84.05M,fantasy
Wrath of the Titans,(2012),PG-13,99 min,"
Action, Adventure, Fantasy            ","
Perseus braves the treacherous underworld to rescue his father, Zeus, captured by his son, Ares, and brother Hades who unleash the ancient Titans upon the world.","

5.7
","
37        
        Metascore
            ","187,411",$83.67M,fantasy
Immortals,(2011),R,110 min,"
Action, Drama, Fantasy            ","
Theseus is a mortal man chosen by Zeus to lead the fight against the ruthless King Hyperion, who is on a rampage across Greece to obtain a weapon that can destroy humanity.","

6.0
","
46        
        Metascore
            ","166,626",$83.50M,fantasy
Smallfoot,(2018),PG,96 min,"
Animation, Adventure, Comedy            ","
A Yeti is convinced that the elusive creatures known as ""humans"" really do exist.","

6.6
","
60        
        Metascore
            ","38,457",$83.24M,fantasy
Charlotte's Web,(2006),G,97 min,"
Adventure, Comedy, Family            ","
Wilbur the pig is scared of the end of the season, because he knows that come that time, he will end up on the dinner table. He hatches a plan with Charlotte, a spider that lives in his pen, to ensure that this will never happen.","

6.3
","
68        
        Metascore
            ","41,056",$82.99M,fantasy
Are We There Yet?,(2005),PG,95 min,"
Adventure, Comedy, Family            ","
To impress a foxy divorcee, ladies' man Nick offers to take her kids on an extended road trip, unaware of the torture he's in for.","

4.7
","
27        
        Metascore
            ","31,706",$82.67M,fantasy
Dracula,(1992),R,128 min,"
Drama, Fantasy, Horror            ","
The centuries old vampire Count Dracula comes to England to seduce his barrister Jonathan Harker's fiancée Mina Murray and inflict havoc in the foreign land.","

7.4
","
57        
        Metascore
            ","210,658",$82.52M,fantasy
Bridge to Terabithia,(2007),PG,96 min,"
Drama, Family, Fantasy            ","
A preteen's life turns upside down when he befriends the new girl in school and they imagine a whole new fantasy world to escape reality.","

7.2
","
74        
        Metascore
            ","152,828",$82.27M,fantasy
Beowulf,(2007),PG-13,115 min,"
Animation, Action, Adventure            ","
The warrior Beowulf must fight and defeat the monster Grendel, who is terrorizing Denmark, then Grendel's Mother, who begins killing out of revenge.","

6.3
","
59        
        Metascore
            ","166,799",$82.16M,fantasy
Zookeeper,(2011),PG,102 min,"
Comedy, Family, Fantasy            ","
A group of zoo animals decide to break their code of silence in order to help their lovable zookeeper find love, without opting to leave his current job for something more illustrious.","

5.2
","
30        
        Metascore
            ","60,640",$80.36M,fantasy
