,Title,Release Year,Certificate,Runtime,Genres,Description,IMDB Rating,Metascore,Votes,Gross Revenue,genre_pull
18,Cloudy with a Chance of Meatballs,(2009),PG,90 min,"
Animation, Adventure, Comedy            ","
A local scientist is often regarded as a failure until he invents a machine that can make food fall from the sky. But little does he know, that things are about to take a turn for the worst.","

7.0
","
66        
        Metascore
            ","223,522",$124.87M,comedy
19,The Devil Wears Prada,(2006),PG-13,109 min,"
Comedy, Drama            ","
A smart but sensible new graduate lands a job as an assistant to Miranda Priestly, the demanding editor-in-chief of a high fashion magazine.","

6.9
","
62        
        Metascore
            ","402,399",$124.74M,comedy
20,Something's Gotta Give,(2003),PG-13,128 min,"
Comedy, Drama, Romance            ","
A swinger on the cusp of being a senior citizen with a taste for young women falls in love with an accomplished woman closer to his age.","

6.7
","
66        
        Metascore
            ","119,337",$124.73M,comedy
21,The Birdcage,(1996),R,117 min,"
Comedy            ","
A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing moralistic parents.","

7.2
","
72        
        Metascore
            ","87,205",$124.06M,comedy
22,City Slickers,(1991),PG-13,113 min,"
Comedy, Western            ","
On the verge of turning 40, an unhappy Manhattan yuppie is roped into joining his two friends on a cattle drive in the southwest.","

6.8
","
70        
        Metascore
            ","55,192",$124.03M,comedy
23,"Good Morning, Vietnam",(1987),R,121 min,"
Biography, Comedy, Drama            ","
In 1965, an unorthodox and irreverent DJ named Adrian Cronauer begins to shake up things when he is assigned to the U.S. Armed Services radio station in Vietnam.","

7.3
","
67        
        Metascore
            ","136,702",$123.92M,comedy
24,Rango,(2011),PG,107 min,"
Animation, Action, Adventure            ","
Rango is an ordinary chameleon who accidentally winds up in the town of Dirt, a lawless outpost in the Wild West in desperate need of a new sheriff.","

7.2
","
75        
        Metascore
            ","255,199",$123.48M,comedy
25,Nutty Professor II: The Klumps,(2000),PG-13,106 min,"
Comedy, Romance, Sci-Fi            ","
Scientist Sherman Klump's inventions, his upcoming marriage to his pretty colleague Denise Gaines and his reputation are threatened by his evil clone Buddy Love.","

4.4
","
38        
        Metascore
            ","50,535",$123.31M,comedy
26,The Good Dinosaur,(2015),PG,93 min,"
Animation, Adventure, Comedy            ","
In a world where dinosaurs and humans live side-by-side, an Apatosaurus named Arlo makes an unlikely human friend.","

6.7
","
66        
        Metascore
            ","111,405",$123.09M,comedy
27,Wayne's World,(1992),PG-13,94 min,"
Comedy, Music            ","
Two slacker friends try to promote their public-access cable show.","

7.0
","
57        
        Metascore
            ","153,634",$121.70M,comedy
28,Free Guy,(2021),PG-13,115 min,"
Action, Adventure, Comedy            ","
A bank teller discovers that he's actually an NPC inside a brutal, open world video game.","

7.2
","
62        
        Metascore
            ","300,610",$121.63M,comedy
29,Superbad,(2007),R,113 min,"
Comedy            ","
Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.","

7.6
","
76        
        Metascore
            ","557,610",$121.46M,comedy
30,50 First Dates,(2004),PG-13,99 min,"
Comedy, Drama, Romance            ","
Henry Roth is a man afraid of commitment until he meets the beautiful Lucy. They hit it off and Henry think he's finally found the girl of his dreams until discovering she has short-term memory loss and forgets him the next day.","

6.8
","
48        
        Metascore
            ","346,088",$120.91M,comedy
31,Mamma Mia! Here We Go Again,(2018),PG-13,114 min,"
Comedy, Musical, Romance            ","
Five years after the events of Mamma Mia! (2008), Sophie prepares for the grand reopening of the Hotel Bella Donna as she learns more about her mother's past.","

6.6
","
60        
        Metascore
            ","90,853",$120.63M,comedy
32,Mulan,(1998),G,88 min,"
Animation, Adventure, Comedy            ","
To save her father from death in the army, a young maiden secretly goes in his place and becomes one of China's greatest heroines in the process.","

7.6
","
71        
        Metascore
            ","276,914",$120.62M,comedy
33,Four Christmases,(2008),PG-13,88 min,"
Comedy, Drama, Romance            ","
A couple struggles to visit all four of their divorced parents on Christmas.","

5.7
","
41        
        Metascore
            ","71,452",$120.15M,comedy
34,I Now Pronounce You Chuck & Larry,(2007),PG-13,115 min,"
Comedy, Romance            ","
Two straight, single Brooklyn firefighters pretend to be a gay couple in order to receive domestic partner benefits.","

5.9
","
37        
        Metascore
            ","145,961",$120.06M,comedy
35,The Mask,(1994),PG-13,101 min,"
Action, Comedy, Crime            ","
Bank clerk Stanley Ipkiss is transformed into a manic superhero when he wears a mysterious mask.","

6.9
","
56        
        Metascore
            ","372,750",$119.94M,comedy
36,Cloudy with a Chance of Meatballs 2,(2013),PG,95 min,"
Animation, Adventure, Comedy            ","
Flint Lockwood now works at The Live Corp Company for his idol Chester V. But he's forced to leave his post when he learns that his most infamous machine is still operational, and is churning out menacing food-animal hybrids.","

6.4
","
59        
        Metascore
            ","99,450",$119.79M,comedy
37,Hook,(1991),PG,142 min,"
Adventure, Comedy, Family            ","
When Captain James Hook kidnaps his children, an adult Peter Pan must return to Neverland and reclaim his youthful spirit in order to challenge his old enemy.","

6.8
","
52        
        Metascore
            ","248,490",$119.65M,comedy
38,Blazing Saddles,(1974),R,93 min,"
Comedy, Western            ","
In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary.","

7.7
","
73        
        Metascore
            ","135,313",$119.50M,comedy
39,G-Force,(2009),PG,88 min,"
Animation, Action, Adventure            ","
A specially trained squad of guinea pigs is dispatched to stop a diabolical billionaire from taking over the world.","

5.1
","
41        
        Metascore
            ","45,727",$119.44M,comedy
40,The Other Guys,(2010),PG-13,107 min,"
Action, Comedy, Crime            ","
Two mismatched New York City detectives seize an opportunity to step up like the city's top cops, whom they idolize, only things don't quite go as planned.","

6.6
","
64        
        Metascore
            ","260,283",$119.22M,comedy
41,Hairspray,(2007),PG,117 min,"
Comedy, Drama, Musical            ","
Pleasantly plump teenager Tracy Turnblad teaches 1962 Baltimore a thing or two about integration after landing a spot on a local TV dance show.","

6.8
","
81        
        Metascore
            ","127,349",$118.87M,comedy
42,The Break-Up,(2006),PG-13,106 min,"
Comedy, Drama, Romance            ","
In a bid to keep their luxurious condo from their significant other, a couple's break-up proceeds to get uglier and nastier by the moment.","

5.8
","
45        
        Metascore
            ","130,935",$118.70M,comedy
43,A Series of Unfortunate Events,(2004),PG,108 min,"
Adventure, Comedy, Family            ","
When a massive fire kills their parents, three children are delivered to the custody of cousin and stage actor Count Olaf, who is secretly plotting to steal their parents' vast fortune.","

6.8
","
62        
        Metascore
            ","205,378",$118.63M,comedy
44,Blades of Glory,(2007),PG-13,93 min,"
Comedy, Sport            ","
In 2002, two rival Olympic ice skaters were stripped of their gold medals and permanently banned from men's single competition. Presently, however, they've found a loophole that will allow them to qualify as a pairs team.","

6.3
","
64        
        Metascore
            ","166,422",$118.59M,comedy
45,Back to the Future Part II,(1989),PG,108 min,"
Adventure, Comedy, Sci-Fi            ","
After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip.","

7.9
","
57        
        Metascore
            ","513,860",$118.50M,comedy
46,Big Momma's House,(2000),PG-13,99 min,"
Action, Comedy, Crime            ","
In order to protect a beautiful woman and her son from a robber, a male FBI agent disguises himself as a large grandmother.","

5.2
","
33        
        Metascore
            ","84,569",$117.56M,comedy
47,Horrible Bosses,(2011),R,98 min,"
Comedy, Crime            ","
Three friends conspire to murder their awful bosses when they realize they are standing in the way of their happiness.","

6.9
","
57        
        Metascore
            ","439,923",$117.54M,comedy
48,The Wolf of Wall Street,(2013),R,180 min,"
Biography, Comedy, Crime            ","
Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","

8.2
","
75        
        Metascore
            ","1,322,011",$116.90M,comedy
49,Notting Hill,(1999),PG-13,124 min,"
Comedy, Drama, Romance            ","
The life of a simple bookshop owner changes when he meets the most famous film star in the world.","

7.2
","
68        
        Metascore
            ","300,097",$116.09M,comedy
