Title,Release Year,Certificate,Genres,IMDB Rating,Votes,Gross Revenue,genre_pull
Thor,(2011),PG-13,"
Action, Adventure, Fantasy            ","

7.0
","809,352",$181.03M,fantasy
Home,(II) (2015),PG,"
Animation, Adventure, Comedy            ","

6.6
","99,802",$177.40M,fantasy
Night at the Museum: Battle of the Smithsonian,(2009),PG,"
Adventure, Comedy, Family            ","

6.0
","190,679",$177.24M,fantasy
How to Train Your Dragon 2,(2014),PG,"
Animation, Action, Adventure            ","

7.8
","324,555",$177.00M,fantasy
The Lego Batman Movie,(2017),PG,"
Animation, Action, Adventure            ","

7.3
","142,710",$175.75M,fantasy
The Boss Baby,(2017),PG,"
Animation, Adventure, Comedy            ","

6.3
","121,667",$175.00M,fantasy
Elf,(2003),PG,"
Adventure, Comedy, Family            ","

7.0
","259,637",$173.40M,fantasy
Pirates of the Caribbean: Dead Men Tell No Tales,(2017),PG-13,"
Action, Adventure, Fantasy            ","

6.6
","291,570",$172.56M,fantasy
Mary Poppins Returns,(2018),PG,"
Adventure, Comedy, Family            ","

6.7
","85,783",$171.96M,fantasy
Hotel Transylvania 2,(2015),PG,"
Animation, Adventure, Comedy            ","

6.7
","122,180",$169.70M,fantasy
Kong: Skull Island,(2017),PG-13,"
Action, Adventure, Fantasy            ","

6.7
","307,440",$168.05M,fantasy
Hotel Transylvania 3: Summer Vacation,(2018),PG,"
Animation, Adventure, Comedy            ","

6.3
","69,928",$167.51M,fantasy
Kung Fu Panda 2,(2011),PG,"
Animation, Action, Adventure            ","

7.2
","273,684",$165.25M,fantasy
Eternals,(2021),PG-13,"
Action, Adventure, Fantasy            ","

6.4
","269,043",$164.87M,fantasy
Clash of the Titans,(2010),PG-13,"
Action, Adventure, Fantasy            ","

5.8
","279,139",$163.21M,fantasy
The SpongeBob Movie: Sponge Out of Water,(2015),PG,"
Animation, Adventure, Comedy            ","

6.0
","53,792",$162.99M,fantasy
Batman Returns,(1992),PG-13,"
Action, Crime, Fantasy            ","

7.1
","294,318",$162.83M,fantasy
A Bug's Life,(1998),G,"
Animation, Adventure, Comedy            ","

7.2
","284,065",$162.80M,fantasy
How to Train Your Dragon: The Hidden World,(2019),PG,"
Animation, Action, Adventure            ","

7.4
","120,909",$160.80M,fantasy
Fantastic Beasts: The Crimes of Grindelwald,(2018),PG-13,"
Adventure, Family, Fantasy            ","

6.5
","252,935",$159.56M,fantasy
Who Framed Roger Rabbit,(1988),PG,"
Animation, Adventure, Comedy            ","

7.7
","195,254",$156.45M,fantasy
Snow White and the Huntsman,(2012),PG-13,"
Action, Adventure, Drama            ","

6.1
","284,722",$155.33M,fantasy
The Mummy,(1999),PG-13,"
Action, Adventure, Fantasy            ","

7.1
","416,202",$155.25M,fantasy
Fantastic Four,(I) (2005),PG-13,"
Action, Adventure, Fantasy            ","

5.7
","323,743",$154.70M,fantasy
Horton Hears a Who!,(2008),G,"
Animation, Adventure, Comedy            ","

6.8
","137,275",$154.53M,fantasy
Trolls,(2016),PG,"
Animation, Adventure, Comedy            ","

6.5
","79,251",$153.71M,fantasy
Scooby-Doo,(2002),PG,"
Adventure, Comedy, Family            ","

5.2
","108,739",$153.29M,fantasy
Puss in Boots,(2011),PG,"
Animation, Adventure, Comedy            ","

6.6
","154,342",$149.26M,fantasy
Hotel Transylvania,(2012),PG,"
Animation, Comedy, Family            ","

7.1
","246,690",$148.31M,fantasy
Gremlins,(1984),PG,"
Comedy, Fantasy, Horror            ","

7.3
","217,076",$148.17M,fantasy
Lilo & Stitch,(2002),PG,"
Animation, Adventure, Comedy            ","

7.3
","182,970",$145.79M,fantasy
The Santa Clause,(1994),PG,"
Comedy, Drama, Family            ","

6.5
","113,193",$144.83M,fantasy
Doctor Dolittle,(1998),PG-13,"
Comedy, Family, Fantasy            ","

5.4
","96,099",$144.16M,fantasy
Kung Fu Panda 3,(2016),PG,"
Animation, Action, Adventure            ","

7.1
","150,406",$143.53M,fantasy
The Smurfs,(2011),PG,"
Animation, Adventure, Comedy            ","

5.4
","88,666",$142.61M,fantasy
The Jungle Book,(1967),G,"
Animation, Adventure, Comedy            ","

7.6
","177,147",$141.84M,fantasy
The Chronicles of Narnia: Prince Caspian,(2008),PG,"
Action, Adventure, Family            ","

6.5
","205,990",$141.62M,fantasy
Shazam!,(2019),PG-13,"
Action, Adventure, Comedy            ","

7.0
","311,779",$140.37M,fantasy
Stuart Little,(1999),PG,"
Adventure, Comedy, Family            ","

6.0
","132,028",$140.04M,fantasy
The Santa Clause 2,(2002),G,"
Comedy, Family, Fantasy            ","

5.7
","56,271",$139.24M,fantasy
A Christmas Carol,(2009),PG,"
Animation, Adventure, Comedy            ","

6.8
","112,471",$137.86M,fantasy
Dinosaur,(2000),PG,"
Animation, Adventure, Drama            ","

6.4
","58,819",$137.75M,fantasy
Click,(2006),PG-13,"
Comedy, Drama, Fantasy            ","

6.4
","322,845",$137.36M,fantasy
The Green Mile,(1999),R,"
Crime, Drama, Fantasy            ","

8.6
","1,242,988",$136.80M,fantasy
Chicken Little,(2005),G,"
Animation, Adventure, Comedy            ","

5.7
","90,683",$135.39M,fantasy
Alvin and the Chipmunks: Chipwrecked,(2011),G,"
Animation, Adventure, Comedy            ","

4.3
","34,436",$133.11M,fantasy
Fantastic Four: Rise of the Silver Surfer,(2007),PG,"
Action, Adventure, Fantasy            ","

5.6
","260,823",$131.92M,fantasy
The Last Airbender,(2010),PG,"
Action, Adventure, Family            ","

4.0
","160,859",$131.56M,fantasy
Lara Croft: Tomb Raider,(2001),PG-13,"
Action, Adventure, Fantasy            ","

5.7
","206,664",$131.14M,fantasy
The Flintstones,(1994),PG,"
Comedy, Family, Fantasy            ","

4.9
","80,173",$130.51M,fantasy
Ghostbusters: Answer the Call,(2016),PG-13,"
Action, Comedy, Fantasy            ","

6.9
","224,823",$128.34M,fantasy
Into the Woods,(2014),PG,"
Adventure, Comedy, Drama            ","

5.9
","138,905",$128.00M,fantasy
Enchanted,(2007),PG,"
Animation, Adventure, Comedy            ","

7.1
","193,446",$127.81M,fantasy
The Curious Case of Benjamin Button,(2008),PG-13,"
Drama, Fantasy, Romance            ","

7.8
","629,856",$127.51M,fantasy
The Legend of Tarzan,(2016),PG-13,"
Action, Adventure, Drama            ","

6.2
","173,098",$126.64M,fantasy
Life of Pi,(2012),PG,"
Adventure, Drama, Fantasy            ","

7.9
","612,648",$124.99M,fantasy
Cloudy with a Chance of Meatballs,(2009),PG,"
Animation, Adventure, Comedy            ","

7.0
","223,507",$124.87M,fantasy
Free Guy,(2021),PG-13,"
Action, Adventure, Comedy            ","

7.2
","300,063",$121.63M,fantasy
Mulan,(1998),G,"
Animation, Adventure, Comedy            ","

7.6
","276,899",$120.62M,fantasy
Van Helsing,(2004),PG-13,"
Action, Adventure, Fantasy            ","

6.0
","259,619",$120.18M,fantasy
The Mask,(1994),PG-13,"
Action, Comedy, Crime            ","

6.9
","372,729",$119.94M,fantasy
Cloudy with a Chance of Meatballs 2,(2013),PG,"
Animation, Adventure, Comedy            ","

6.4
","99,440",$119.79M,fantasy
Hook,(1991),PG,"
Adventure, Comedy, Family            ","

6.8
","248,477",$119.65M,fantasy
G-Force,(2009),PG,"
Animation, Action, Adventure            ","

5.1
","45,726",$119.44M,fantasy
A Series of Unfortunate Events,(2004),PG,"
Adventure, Comedy, Family            ","

6.8
","205,368",$118.63M,fantasy
Ghost Rider,(2007),PG-13,"
Action, Fantasy, Thriller            ","

5.2
","233,679",$115.80M,fantasy
Peter Rabbit,(2018),PG,"
Animation, Adventure, Comedy            ","

6.6
","41,351",$115.25M,fantasy
Big,(1988),PG,"
Comedy, Drama, Fantasy            ","

7.3
","213,893",$114.97M,fantasy
Dumbo,(2019),PG,"
Adventure, Family, Fantasy            ","

6.3
","73,199",$114.77M,fantasy
Maleficent: Mistress of Evil,(2019),PG,"
Adventure, Family, Fantasy            ","

6.6
","99,759",$113.93M,fantasy
Night at the Museum: Secret of the Tomb,(2014),PG,"
Adventure, Comedy, Family            ","

6.2
","117,873",$113.75M,fantasy
The Addams Family,(1991),PG-13,"
Comedy, Fantasy            ","

6.9
","149,756",$113.50M,fantasy
Dr. Dolittle 2,(2001),PG,"
Comedy, Family, Fantasy            ","

4.7
","44,830",$112.95M,fantasy
Ghostbusters II,(1989),PG,"
Action, Comedy, Fantasy            ","

6.6
","201,504",$112.49M,fantasy
The Little Mermaid,(1989),G,"
Animation, Adventure, Comedy            ","

7.6
","253,453",$111.54M,fantasy
Mr. Peabody & Sherman,(2014),PG,"
Animation, Adventure, Comedy            ","

6.8
","68,129",$111.51M,fantasy
Godzilla: King of the Monsters,(2019),PG-13,"
Action, Adventure, Fantasy            ","

6.0
","173,681",$110.50M,fantasy
Freaky Friday,(2003),PG,"
Comedy, Family, Fantasy            ","

6.3
","134,639",$110.23M,fantasy
Bedtime Stories,(2008),PG,"
Adventure, Comedy, Family            ","

6.0
","93,423",$110.10M,fantasy
Hop,(2011),PG,"
Animation, Adventure, Comedy            ","

5.4
","33,436",$108.09M,fantasy
Epic,(2013),PG,"
Animation, Action, Adventure            ","

6.6
","103,992",$107.52M,fantasy
The Lego Movie 2: The Second Part,(2019),PG,"
Animation, Adventure, Comedy            ","

6.6
","62,916",$105.81M,fantasy
Interview with the Vampire: The Vampire Chronicles,(1994),R,"
Drama, Fantasy, Horror            ","

7.5
","312,397",$105.26M,fantasy
Phenomenon,(1996),PG,"
Drama, Fantasy, Romance            ","

6.4
","78,623",$104.64M,fantasy
The Princess and the Frog,(2009),G,"
Animation, Adventure, Comedy            ","

7.1
","137,787",$104.40M,fantasy
The Chronicles of Narnia: The Voyage of the Dawn Treader,(2010),PG,"
Adventure, Family, Fantasy            ","

6.3
","150,869",$104.39M,fantasy
Journey 2: The Mysterious Island,(2012),PG,"
Action, Adventure, Comedy            ","

5.7
","101,952",$103.86M,fantasy
Rise of the Guardians,(2012),PG,"
Animation, Action, Adventure            ","

7.3
","169,786",$103.41M,fantasy
The Mummy: Tomb of the Dragon Emperor,(2008),PG-13,"
Action, Fantasy, Horror            ","

5.2
","157,958",$102.49M,fantasy
Mary Poppins,(1964),G,"
Comedy, Family, Fantasy            ","

7.8
","167,928",$102.27M,fantasy
Journey to the Center of the Earth,(2008),PG,"
Action, Adventure, Family            ","

5.8
","120,406",$101.70M,fantasy
The Prince of Egypt,(1998),PG,"
Animation, Adventure, Drama            ","

7.1
","127,909",$101.22M,fantasy
The Cat in the Hat,(2003),PG,"
Adventure, Comedy, Family            ","

4.1
","81,479",$101.15M,fantasy
Sleepy Hollow,(1999),R,"
Fantasy, Horror, Mystery            ","

7.3
","350,329",$101.07M,fantasy
Vanilla Sky,(2001),R,"
Fantasy, Mystery, Romance            ","

6.9
","260,203",$100.61M,fantasy
A Wrinkle in Time,(2018),PG,"
Adventure, Family, Fantasy            ","

4.2
","44,157",$100.48M,fantasy
Jumanji,(1995),PG,"
Adventure, Comedy, Family            ","

7.0
","333,612",$100.48M,fantasy
Evan Almighty,(2007),PG,"
Comedy, Family, Fantasy            ","

5.4
","145,430",$100.46M,fantasy
Casper,(1995),PG,"
Comedy, Family, Fantasy            ","

6.1
","130,634",$100.33M,fantasy
The Addams Family,(2019),PG,"
Animation, Comedy, Family            ","

5.8
","36,950",$100.04M,fantasy
Gnomeo & Juliet,(2011),G,"
Animation, Adventure, Comedy            ","

5.9
","55,054",$99.97M,fantasy
Christopher Robin,(2018),PG,"
Animation, Adventure, Comedy            ","

7.2
","75,360",$99.22M,fantasy
Hercules,(1997),G,"
Animation, Adventure, Comedy            ","

7.3
","222,433",$99.05M,fantasy
Sausage Party,(2016),R,"
Animation, Adventure, Comedy            ","

6.1
","188,976",$97.69M,fantasy
Michael,(1996),PG,"
Comedy, Drama, Fantasy            ","

5.7
","42,789",$95.32M,fantasy
"10,000 BC",(2008),PG-13,"
Action, Adventure, Drama            ","

5.1
","129,625",$94.78M,fantasy
Tomorrowland,(2015),PG,"
Action, Adventure, Family            ","

6.4
","179,967",$93.44M,fantasy
Cats & Dogs,(2001),PG,"
Action, Adventure, Comedy            ","

5.1
","58,952",$93.39M,fantasy
The Haunting,(1999),PG-13,"
Fantasy, Horror, Mystery            ","

5.0
","75,386",$91.41M,fantasy
The Scorpion King,(2002),PG-13,"
Action, Adventure, Fantasy            ","

5.5
","136,382",$91.05M,fantasy
Prince of Persia: The Sands of Time,(2010),PG-13,"
Action, Adventure, Fantasy            ","

6.6
","284,540",$90.76M,fantasy
Antz,(1998),PG,"
Animation, Adventure, Comedy            ","

6.6
","152,748",$90.76M,fantasy
Space Jam,(1996),PG,"
Animation, Adventure, Comedy            ","

6.5
","193,170",$90.46M,fantasy
The Emperor's New Groove,(2000),G,"
Animation, Adventure, Comedy            ","

7.4
","196,023",$89.30M,fantasy
Percy Jackson & the Olympians: The Lightning Thief,(2010),PG,"
Adventure, Family, Fantasy            ","

5.9
","185,566",$88.76M,fantasy
Peter Pan,(1953),G,"
Animation, Adventure, Family            ","

7.3
","135,779",$87.40M,fantasy
Miss Peregrine's Home for Peculiar Children,(2016),PG-13,"
Adventure, Drama, Family            ","

6.7
","167,328",$87.24M,fantasy
The Emoji Movie,(2017),PG,"
Animation, Adventure, Comedy            ","

3.3
","62,172",$86.09M,fantasy
Pokémon: The First Movie - Mewtwo Strikes Back,(1998),G,"
Animation, Action, Adventure            ","

6.2
","42,470",$85.74M,fantasy
The SpongeBob SquarePants Movie,(2004),PG,"
Animation, Adventure, Comedy            ","

7.1
","87,504",$85.42M,fantasy
Power Rangers,(2017),PG-13,"
Action, Adventure, Fantasy            ","

5.9
","106,376",$85.36M,fantasy
Brother Bear,(2003),G,"
Animation, Adventure, Comedy            ","

6.8
","106,515",$85.34M,fantasy
Cinderella,(1950),G,"
Animation, Family, Fantasy            ","

7.3
","155,764",$85.00M,fantasy
The Santa Clause 3: The Escape Clause,(2006),G,"
Adventure, Comedy, Family            ","

4.8
","36,929",$84.50M,fantasy
Pinocchio,(1940),G,"
Animation, Adventure, Comedy            ","

7.5
","140,737",$84.25M,fantasy
Scooby-Doo 2: Monsters Unleashed,(2004),PG,"
Adventure, Comedy, Family            ","

5.1
","55,329",$84.22M,fantasy
Atlantis: The Lost Empire,(2001),PG,"
Animation, Action, Adventure            ","

6.9
","114,751",$84.05M,fantasy
Wrath of the Titans,(2012),PG-13,"
Action, Adventure, Fantasy            ","

5.7
","187,282",$83.67M,fantasy
Immortals,(2011),R,"
Action, Drama, Fantasy            ","

6.0
","166,480",$83.50M,fantasy
Smallfoot,(2018),PG,"
Animation, Adventure, Comedy            ","

6.6
","38,353",$83.24M,fantasy
Charlotte's Web,(2006),G,"
Adventure, Comedy, Family            ","

6.3
","40,968",$82.99M,fantasy
Are We There Yet?,(2005),PG,"
Adventure, Comedy, Family            ","

4.7
","31,645",$82.67M,fantasy
Dracula,(1992),R,"
Drama, Fantasy, Horror            ","

7.4
","210,273",$82.52M,fantasy
Bridge to Terabithia,(2007),PG,"
Drama, Family, Fantasy            ","

7.2
","152,433",$82.27M,fantasy
Beowulf,(2007),PG-13,"
Animation, Action, Adventure            ","

6.3
","166,690",$82.16M,fantasy
Zookeeper,(2011),PG,"
Comedy, Family, Fantasy            ","

5.2
","60,572",$80.36M,fantasy
The Mummy,(2017),PG-13,"
Action, Adventure, Fantasy            ","

5.4
","182,710",$80.10M,fantasy
Goosebumps,(2015),PG,"
Adventure, Comedy, Fantasy            ","

6.3
","86,879",$80.08M,fantasy
The Golden Child,(1986),PG-13,"
Action, Adventure, Comedy            ","

5.9
","55,514",$79.82M,fantasy
Dark Shadows,(2012),PG-13,"
Comedy, Fantasy, Horror            ","

6.2
","261,072",$79.73M,fantasy
Pixels,(2015),PG-13,"
Action, Comedy, Fantasy            ","

5.6
","140,315",$78.75M,fantasy
City of Angels,(1998),PG-13,"
Drama, Fantasy, Romance            ","

6.7
","118,872",$78.69M,fantasy
Where the Wild Things Are,(2009),PG,"
Adventure, Drama, Family            ","

6.7
","103,938",$77.23M,fantasy
Dolittle,(2020),PG,"
Adventure, Comedy, Family            ","

5.6
","60,781",$77.05M,fantasy
Alice Through the Looking Glass,(2016),PG,"
Adventure, Family, Fantasy            ","

6.2
","103,779",$77.04M,fantasy
Fantasia,(1940),G,"
Animation, Family, Fantasy            ","

7.7
","93,957",$76.41M,fantasy
Paddington,(2014),PG,"
Adventure, Comedy, Family            ","

7.3
","110,007",$76.27M,fantasy
Pete's Dragon,(2016),PG,"
Action, Adventure, Comedy            ","

6.7
","57,494",$76.23M,fantasy
Constantine,(2005),R,"
Action, Fantasy, Horror            ","

7.0
","332,170",$75.98M,fantasy
The Haunted Mansion,(2003),PG,"
Comedy, Family, Fantasy            ","

5.1
","47,855",$75.85M,fantasy
The Family Man,(2000),PG-13,"
Comedy, Drama, Fantasy            ","

6.8
","109,107",$75.79M,fantasy
Hellboy II: The Golden Army,(2008),PG-13,"
Action, Adventure, Fantasy            ","

7.0
","266,521",$75.75M,fantasy
Garfield,(2004),PG,"
Animation, Adventure, Comedy            ","

5.0
","84,721",$75.37M,fantasy
Coraline,(2009),PG,"
Animation, Drama, Family            ","

7.7
","216,657",$75.29M,fantasy
Star Wars: Episode VII - The Force Awakens,(2015),PG-13,"
Action, Adventure, Sci-Fi            ","

7.9
","902,766",$936.66M,action
Avengers: Endgame,(2019),PG-13,"
Action, Adventure, Drama            ","

8.4
","1,022,316",$858.37M,action
Avatar,(2009),PG-13,"
Action, Adventure, Fantasy            ","

7.9
","1,182,802",$760.51M,action
Black Panther,(2018),PG-13,"
Action, Adventure, Sci-Fi            ","

7.3
","710,388",$700.06M,action
Avengers: Infinity War,(2018),PG-13,"
Action, Adventure, Sci-Fi            ","

8.5
","989,004",$678.82M,action
Jurassic World,(2015),PG-13,"
Action, Adventure, Sci-Fi            ","

7.0
","615,264",$652.27M,action
The Avengers,(2012),PG-13,"
Action, Adventure, Sci-Fi            ","

8.1
","1,342,570",$623.28M,action
Star Wars: Episode VIII - The Last Jedi,(2017),PG-13,"
Action, Adventure, Fantasy            ","

6.9
","605,798",$620.18M,action
Incredibles 2,(2018),PG,"
Animation, Action, Adventure            ","

7.6
","280,789",$608.58M,action
The Dark Knight,(2008),PG-13,"
Action, Crime, Drama            ","

9.1
","2,511,458",$534.86M,action
Rogue One: A Star Wars Story,(2016),PG-13,"
Action, Adventure, Sci-Fi            ","

7.8
","598,860",$532.18M,action
Star Wars: The Rise Of Skywalker,(2019),PG-13,"
Action, Adventure, Fantasy            ","

6.5
","422,881",$515.20M,action
Star Wars: Episode I - The Phantom Menace,(1999),PG,"
Action, Adventure, Fantasy            ","

6.5
","773,715",$474.54M,action
Avengers: Age of Ultron,(2015),PG-13,"
Action, Adventure, Sci-Fi            ","

7.3
","822,099",$459.01M,action
The Dark Knight Rises,(2012),PG-13,"
Action, Crime, Drama            ","

8.4
","1,626,918",$448.14M,action
Captain Marvel,(2019),PG-13,"
Action, Adventure, Sci-Fi            ","

6.8
","523,272",$426.83M,action
The Hunger Games: Catching Fire,(2013),PG-13,"
Action, Adventure, Drama            ","

7.5
","646,754",$424.67M,action
Pirates of the Caribbean: Dead Man's Chest,(2006),PG-13,"
Action, Adventure, Fantasy            ","

7.4
","690,551",$423.32M,action
Jurassic World: Fallen Kingdom,(2018),PG-13,"
Action, Adventure, Sci-Fi            ","

6.2
","293,730",$417.72M,action
Wonder Woman,(2017),PG-13,"
Action, Adventure, Fantasy            ","

7.4
","629,718",$412.56M,action
Iron Man Three,(2013),PG-13,"
Action, Adventure, Sci-Fi            ","

7.2
","816,965",$409.01M,action
Captain America: Civil War,(2016),PG-13,"
Action, Adventure, Sci-Fi            ","

7.8
","742,589",$408.08M,action
The Hunger Games,(2012),PG-13,"
Action, Adventure, Sci-Fi            ","

7.2
","892,098",$408.01M,action
Jumanji: Welcome to the Jungle,(2017),PG-13,"
Action, Adventure, Comedy            ","

6.9
","359,997",$404.52M,action
Spider-Man,(2002),PG-13,"
Action, Adventure, Sci-Fi            ","

7.4
","784,705",$403.71M,action
Jurassic Park,(1993),PG-13,"
Action, Adventure, Sci-Fi            ","

8.2
","936,297",$402.45M,action
Transformers: Revenge of the Fallen,(2009),PG-13,"
Action, Adventure, Sci-Fi            ","

6.0
","400,597",$402.11M,action
Spider-Man: Far from Home,(2019),PG-13,"
Action, Adventure, Sci-Fi            ","

7.4
","448,062",$390.53M,action
Guardians of the Galaxy Vol. 2,(2017),PG-13,"
Action, Adventure, Comedy            ","

7.6
","640,094",$389.81M,action
Star Wars: Episode III - Revenge of the Sith,(2005),PG-13,"
Action, Adventure, Fantasy            ","

7.6
","756,380",$380.26M,action
The Lord of the Rings: The Return of the King,(2003),PG-13,"
Action, Adventure, Drama            ","

9.0
","1,760,690",$377.85M,action
Spider-Man 2,(2004),PG-13,"
Action, Adventure, Sci-Fi            ","

7.4
","623,898",$373.59M,action
Deadpool,(2016),R,"
Action, Adventure, Comedy            ","

8.0
","983,703",$363.07M,action
Furious 7,(2015),PG-13,"
Action, Crime, Thriller            ","

7.2
","381,339",$353.01M,action
Transformers: Dark of the Moon,(2011),PG-13,"
Action, Adventure, Sci-Fi            ","

6.2
","400,342",$352.39M,action
American Sniper,(2014),R,"
Action, Biography, Drama            ","

7.3
","470,125",$350.13M,action
The Lord of the Rings: The Two Towers,(2002),PG-13,"
Action, Adventure, Drama            ","

8.8
","1,590,739",$342.55M,action
The Hunger Games: Mockingjay - Part 1,(2014),PG-13,"
Action, Adventure, Sci-Fi            ","

6.6
","441,543",$337.14M,action
Spider-Man 3,(2007),PG-13,"
Action, Adventure, Sci-Fi            ","

6.3
","565,420",$336.53M,action
Aquaman,(2018),PG-13,"
Action, Adventure, Fantasy            ","

6.9
","434,736",$335.06M,action
Spider-Man: Homecoming,(2017),PG-13,"
Action, Adventure, Sci-Fi            ","

7.4
","615,164",$334.20M,action
Guardians of the Galaxy,(2014),PG-13,"
Action, Adventure, Comedy            ","

8.1
","1,128,061",$333.18M,action
Batman v Superman: Dawn of Justice,(2016),PG-13,"
Action, Adventure, Sci-Fi            ","

6.5
","679,369",$330.36M,action
Suicide Squad,(2016),PG-13,"
Action, Adventure, Fantasy            ","

5.9
","666,872",$325.10M,action
Deadpool 2,(2018),R,"
Action, Adventure, Comedy            ","

7.7
","544,306",$324.59M,action
Star Wars,(1977),PG,"
Action, Adventure, Fantasy            ","

8.6
","1,309,686",$322.74M,action
Transformers,(2007),PG-13,"
Action, Adventure, Sci-Fi            ","

7.1
","623,273",$319.25M,action
Iron Man,(2008),PG-13,"
Action, Adventure, Sci-Fi            ","

7.9
","1,016,337",$318.41M,action
Indiana Jones and the Kingdom of the Crystal Skull,(2008),PG-13,"
Action, Adventure            ","

6.2
","445,183",$317.10M,action
Jumanji: The Next Level,(2019),PG-13,"
Action, Adventure, Comedy            ","

6.7
","233,397",$316.83M,action
The Lord of the Rings: The Fellowship of the Ring,(2001),PG-13,"
Action, Adventure, Drama            ","

8.9
","1,782,635",$315.54M,action
Thor: Ragnarok,(2017),PG-13,"
Action, Adventure, Comedy            ","

7.9
","684,417",$315.06M,action
Iron Man 2,(2010),PG-13,"
Action, Adventure, Sci-Fi            ","

7.0
","784,441",$312.43M,action
Star Wars: Episode II - Attack of the Clones,(2002),PG,"
Action, Adventure, Fantasy            ","

6.6
","682,577",$310.68M,action
Pirates of the Caribbean: At World's End,(2007),PG-13,"
Action, Adventure, Fantasy            ","

7.1
","627,731",$309.42M,action
Star Wars: Episode VI - Return of the Jedi,(1983),PG,"
Action, Adventure, Fantasy            ","

8.3
","1,012,095",$309.13M,action
Independence Day,(1996),PG-13,"
Action, Adventure, Sci-Fi            ","

7.0
","559,200",$306.17M,action
Pirates of the Caribbean: The Curse of the Black Pearl,(2003),PG-13,"
Action, Adventure, Fantasy            ","

8.1
","1,066,186",$305.41M,action
Skyfall,(2012),PG-13,"
Action, Adventure, Thriller            ","

7.8
","680,624",$304.36M,action
Harry Potter and the Half-Blood Prince,(2009),PG,"
Action, Adventure, Family            ","

7.6
","521,665",$301.96M,action
The Twilight Saga: Eclipse,(2010),PG-13,"
Action, Adventure, Drama            ","

5.0
","240,641",$300.53M,action
Inception,(2010),PG-13,"
Action, Adventure, Sci-Fi            ","

8.8
","2,244,151",$292.58M,action
Harry Potter and the Order of the Phoenix,(2007),PG-13,"
Action, Adventure, Family            ","

7.5
","557,554",$292.00M,action
Man of Steel,(2013),PG-13,"
Action, Adventure, Sci-Fi            ","

7.1
","745,834",$291.05M,action
Star Wars: Episode V - The Empire Strikes Back,(1980),PG,"
Action, Adventure, Fantasy            ","

8.7
","1,238,230",$290.48M,action
The Hunger Games: Mockingjay - Part 2,(2015),PG-13,"
Action, Adventure, Sci-Fi            ","

6.5
","313,540",$281.72M,action
The Matrix Reloaded,(2003),R,"
Action, Sci-Fi            ","

7.2
","580,958",$281.49M,action
Gravity,(2013),PG-13,"
Action, Drama, Sci-Fi            ","

7.7
","806,983",$274.09M,action
The Amazing Spider-Man,(2012),PG-13,"
Action, Adventure, Sci-Fi            ","

7.0
","630,334",$262.03M,action
The Incredibles,(2004),PG,"
Animation, Action, Adventure            ","

8.1
","698,847",$261.44M,action
Captain America: The Winter Soldier,(2014),PG-13,"
Action, Adventure, Sci-Fi            ","

7.8
","806,657",$259.77M,action
The Lego Movie,(2014),PG,"
Animation, Action, Adventure            ","

7.7
","342,694",$257.76M,action
Star Trek,(2009),PG-13,"
Action, Adventure, Sci-Fi            ","

8.0
","595,965",$257.73M,action
I Am Legend,(2007),PG-13,"
Action, Drama, Sci-Fi            ","

7.2
","731,709",$256.39M,action
Batman,(1989),PG-13,"
Action, Adventure            ","

7.5
","363,223",$251.19M,action
Men in Black,(1997),PG-13,"
Action, Adventure, Comedy            ","

7.3
","549,463",$250.69M,action
Indiana Jones and the Raiders of the Lost Ark,(1981),PG,"
Action, Adventure            ","

8.4
","936,709",$248.16M,action
Transformers: Age of Extinction,(2014),PG-13,"
Action, Adventure, Sci-Fi            ","

5.6
","308,905",$245.44M,action
Twister,(I) (1996),PG-13,"
Action, Adventure, Thriller            ","

6.4
","191,246",$241.72M,action
Pirates of the Caribbean: On Stranger Tides,(2011),PG-13,"
Action, Adventure, Fantasy            ","

6.6
","508,871",$241.06M,action
Furious 6,(2013),PG-13,"
Action, Crime, Thriller            ","

7.1
","387,260",$238.68M,action
Ghostbusters,(1984),PG,"
Action, Comedy, Fantasy            ","

7.8
","401,237",$238.63M,action
Beverly Hills Cop,(1984),R,"
Action, Comedy, Crime            ","

7.4
","178,539",$234.76M,action
X-Men: The Last Stand,(2006),PG-13,"
Action, Adventure, Sci-Fi            ","

6.7
","505,016",$234.36M,action
War of the Worlds,(2005),PG-13,"
Action, Adventure, Sci-Fi            ","

6.5
","436,632",$234.28M,action
X-Men: Days of Future Past,(2014),PG-13,"
Action, Adventure, Sci-Fi            ","

8.0
","692,810",$233.92M,action
Doctor Strange,(2016),PG-13,"
Action, Adventure, Fantasy            ","

7.5
","682,649",$232.64M,action
The Lost World: Jurassic Park,(1997),PG-13,"
Action, Adventure, Sci-Fi            ","

6.5
","403,021",$229.09M,action
Justice League,(2017),PG-13,"
Action, Adventure, Fantasy            ","

6.1
","436,300",$229.02M,action
Star Trek Into Darkness,(2013),PG-13,"
Action, Adventure, Sci-Fi            ","

7.7
","477,563",$228.78M,action
Hancock,(2008),PG-13,"
Action, Drama, Fantasy            ","

6.4
","469,416",$227.95M,action
The Bourne Ultimatum,(2007),PG-13,"
Action, Mystery, Thriller            ","

8.0
","624,755",$227.47M,action
Logan,(2017),R,"
Action, Drama, Sci-Fi            ","

8.1
","717,539",$226.28M,action
Rush Hour 2,(2001),PG-13,"
Action, Comedy, Crime            ","

6.6
","213,358",$226.16M,action
